,date,title,author
3411,"May 13, 2007",Simple Genius,David Baldacci
3412,"May 20, 2007",Simple Genius,David Baldacci
3413,"May 27, 2007",The 6th Target,James Patterson and Maxine Paetro
3414,"June 3, 2007",The 6th Target,James Patterson and Maxine Paetro
3415,"June 10, 2007",A Thousand Splendid Suns,Khaled Hosseini
3416,"June 17, 2007",A Thousand Splendid Suns,Khaled Hosseini
3417,"June 24, 2007",A Thousand Splendid Suns,Khaled Hosseini
3418,"July 1, 2007",A Thousand Splendid Suns,Khaled Hosseini
3419,"July 8, 2007",Lean Mean Thirteen,Janet Evanovich
3420,"July 15, 2007",A Thousand Splendid Suns,Khaled Hosseini
3421,"July 22, 2007",The Quickie,James Patterson and Michael Ledwidge
3422,"July 29, 2007",The Quickie,James Patterson and Michael Ledwidge
3423,"August 5, 2007",A Thousand Splendid Suns,Khaled Hosseini
3424,"August 12, 2007",A Thousand Splendid Suns,Khaled Hosseini
3425,"August 19, 2007",A Thousand Splendid Suns,Khaled Hosseini
3426,"August 26, 2007",A Thousand Splendid Suns,Khaled Hosseini
3427,"September 2, 2007",A Thousand Splendid Suns,Khaled Hosseini
3428,"September 9, 2007",A Thousand Splendid Suns,Khaled Hosseini
3429,"September 16, 2007",A Thousand Splendid Suns,Khaled Hosseini
3430,"September 23, 2007",A Thousand Splendid Suns,Khaled Hosseini
3431,"September 30, 2007",You've Been Warned,James Patterson and Howard Roughan
3432,"October 7, 2007",You've Been Warned,James Patterson and Howard Roughan
3433,"October 14, 2007",Playing for Pizza,John Grisham
3434,"October 21, 2007",Playing for Pizza,John Grisham
3435,"October 28, 2007",World Without End,Ken Follett
3436,"November 4, 2007",Playing for Pizza,John Grisham
3437,"November 11, 2007",Book of the Dead,Patricia Cornwell
3438,"November 18, 2007",Protect and Defended,Vince Flynn
3439,"November 25, 2007",Stone Cold,David Baldacci
3440,"December 2, 2007",Double Cross,James Patterson
3441,"December 9, 2007",Double Cross,James Patterson
3442,"December 16, 2007",Double Cross,James Patterson
3443,"December 23, 2007","""T"" Is for Trespass",Sue Grafton
3444,"December 30, 2007","""T"" Is for Trespass",Sue Grafton
3445,"January 6, 2008",Double Cross,James Patterson
3446,"January 13, 2008",A Thousand Splendid Suns,Khaled Hosseini
3447,"January 20, 2008",A Thousand Splendid Suns,Khaled Hosseini
3448,"January 27, 2008",Plum Lucky,Janet Evanovich
3449,"February 3, 2008",Plum Lucky,Janet Evanovich
3450,"February 10, 2008",Duma Key,Stephen King
3451,"February 17, 2008",The Appeal,John Grisham
3452,"February 24, 2008",The Appeal,John Grisham
3453,"March 2, 2008",The Appeal,John Grisham
3454,"March 9, 2008",The Appeal,John Grisham
3455,"March 16, 2008",The Appeal,John Grisham
3456,"March 23, 2008",Change of Heart,Jodi Picoult
3457,"March 30, 2008",Change of Heart,Jodi Picoult
3458,"April 6, 2008",Change of Heart,Jodi Picoult
3459,"April 13, 2008",Compulsion,Jonathan Kellerman
3460,"April 20, 2008",Unaccustomed Earth,Jhumpa Lahiri
3461,"April 27, 2008",Where Are You Now?,Mary Higgins Clark
3462,"May 4, 2008",Hold Tight,Harlan Coben
3463,"May 11, 2008",The Whole Truth,David Baldacci
3464,"May 18, 2008",Sundays at Tiffany's,James Patterson and Gabrielle Charbonnet
3465,"May 25, 2008",The Host,Stephenie Meyer
3466,"June 1, 2008",The Host,Stephenie Meyer
3467,"June 8, 2008",Odd Hours,Dean Koontz
3468,"June 15, 2008",Blood Noir,Laurell K. Hamilton
3469,"June 22, 2008",Nothing to lose,Lee Child
3470,"June 29, 2008",Sail,James Patterson and Howard Roughan
3471,"July 6, 2008",Fearless Fourteen,Janet Evanovich
3472,"July 13, 2008",Fearless Fourteen,Janet Evanovich
3473,"July 20, 2008",The Last Patriot,Brad Thor
3474,"July 27, 2008",Tribute,Nora Roberts
3475,"August 3, 2008",Tribute,Nora Roberts
3476,"August 10, 2008",Moscow Rules,Daniel Silva
3477,"August 17, 2008",Moscow Rules,Daniel Silva
3478,"August 24, 2008",Acheron,Sherrilyn Kenyon
3479,"August 31, 2008",Smoke Screen,Sandra Brown
3480,"September 7, 2008",The Force Unleashed,Sean Williams
3481,"September 14, 2008",Devil Bones,Kathy Reichs
3482,"September 21, 2008",Dark Curse,Christine Feehan
3483,"September 28, 2008",Anathem,Neal Stephenson
3484,"October 5, 2008",The Story of Edgar Sawtelle,David Wroblewski
3485,"October 12, 2008",The Story of Edgar Sawtelle,David Wroblewski
3486,"October 19, 2008",The Lucky One,Nicholas Sparks
3487,"October 26, 2008",The Lucky One,Nicholas Sparks
3488,"November 2, 2008",The Brass Verdict,Michael Connelly
3489,"November 9, 2008",Extreme Measures,Vince Flynn
3490,"November 16, 2008",The Gate House,Nelson DeMille
3491,"November 23, 2008",Divine Justice,David Baldacci
3492,"November 30, 2008",The Christmas Sweater,Glenn Beck
3493,"December 7, 2008",Cross Country,James Patterson
3494,"December 14, 2008",Cross Country,James Patterson
3495,"December 21, 2008",Scarpetta,Patricia Cornwell
3496,"December 28, 2008",Scarpetta,Patricia Cornwell
3497,"January 4, 2009",The Christmas Sweater,Glenn Beck
3498,"January 11, 2009",Scarpetta,Patricia Cornwell
3499,"January 18, 2009",Black Ops,W. E. B. Griffin
3500,"January 25, 2009",Plum Spooky,Janet Evanovich
3501,"February 1, 2009",Plum Spooky,Janet Evanovich
3502,"February 8, 2009",Plum Spooky,Janet Evanovich
3503,"February 15, 2009",The Associate,John Grisham
3504,"February 22, 2009",The Associate,John Grisham
3505,"March 1, 2009",The Associate,John Grisham
3506,"March 8, 2009",The Associate,John Grisham
3507,"March 15, 2009",Promises in Death,J. D. Robb
3508,"March 22, 2009",Handle with Care,Jodi Picoult
3509,"March 29, 2009",Handle with Care,Jodi Picoult
3510,"April 5, 2009",Handle with Care,Jodi Picoult
3511,"April 12, 2009",True Detectives,Jonathan Kellerman
3512,"April 19, 2009",Long Lost,Harlan Coben
3513,"April 26, 2009",Turn Coat,Jim Butcher
3514,"May 3, 2009",Just Take My Heart,Mary Higgins Clark
3515,"May 10, 2009",First Family,David Baldacci
3516,"May 17, 2009",8th Confession,James Patterson and Maxine Paetro
3517,"May 24, 2009",Dead and Gone,Charlaine Harris
3518,"May 31, 2009",Wicked Prey,John Sandford
3519,"June 7, 2009",Gone Tomorrow,Lee Child
3520,"June 14, 2009",The Scarecrow,Michael Connelly
3521,"June 21, 2009",Skin Trade,Laurell K. Hamilton
3522,"June 28, 2009",Relentless,Dean Koontz
3523,"July 5, 2009",Knockout,Catherine Coulter
3524,"July 12, 2009",Finger Lickin' Fifteen,Janet Evanovich
3525,"July 19, 2009",Swimsuit,James Patterson and Maxine Paetro
3526,"July 26, 2009",Black Hills,Nora Roberts
3527,"August 2, 2009",Best Friends Forever,Jennifer Weiner
3528,"August 9, 2009",The Defector,Daniel Silva
3529,"August 16, 2009",The Girl Who Played with Fire,Stieg Larsson
3530,"August 23, 2009",Bad Moon Rising,Sherrilyn Kenyon
3531,"August 30, 2009",South of Broad,Pat Conroy
3532,"September 6, 2009",South of Broad,Pat Conroy
3533,"September 13, 2009",Alex Cross's Trial,James Patterson and Richard DiLallo
3534,"September 20, 2009",Dark Slayer,Christine Feehan
3535,"September 27, 2009",The Last Song,Nicholas Sparks
3536,"October 4, 2009",The Lost Symbol,Dan Brown
3537,"October 11, 2009",The Lost Symbol,Dan Brown
3538,"October 18, 2009",The Lost Symbol,Dan Brown
3539,"October 25, 2009",The Lost Symbol,Dan Brown
3540,"November 1, 2009",The Lost Symbol,Dan Brown
3541,"November 8, 2009",The Lost Symbol,Dan Brown
3542,"November 15, 2009",The Gathering Storm,Robert Jordan and Brandon Sanderson
3543,"November 22, 2009",Ford County,John Grisham
3544,"November 29, 2009",Under the Dome,Stephen King
3545,"December 6, 2009","I, Alex Cross",James Patterson
3546,"December 13, 2009","I, Alex Cross",James Patterson
3547,"December 20, 2009","""U"" Is for Undertow",Sue Grafton
3548,"December 27, 2009",The Lost Symbol,Dan Brown
3549,"January 3, 2010",The Lost Symbol,Dan Brown
3550,"January 10, 2010",The Lost Symbol,Dan Brown
3551,"January 17, 2010",The Lost Symbol,Dan Brown
3552,"January 24, 2010",The Help,Kathryn Stockett
3553,"January 31, 2010",The Help,Kathryn Stockett
3554,"February 7, 2010",The Help,Kathryn Stockett
3555,"February 14, 2010",The Help,Kathryn Stockett
3556,"February 21, 2010",Worst Case,James Patterson
3557,"February 28, 2010",Worst Case,James Patterson
3558,"March 7, 2010",The Help,Kathryn Stockett
3559,"March 14, 2010",Fantasy in Death,J. D. Robb
3560,"March 21, 2010",House Rules,Jodi Picoult
3561,"March 28, 2010",House Rules,Jodi Picoult
3562,"April 4, 2010",The Help,Kathryn Stockett
3563,"April 11, 2010",Caught,Harlan Coben
3564,"April 18, 2010",Silver Borne,Patricia Briggs
3565,"April 25, 2010",Changes,Jim Butcher
3566,"May 2, 2010",The Shadow of Your Smile,Mary Higgins Clark
3567,"May 9, 2010",Deliver us from Evil,David Baldacci
3568,"May 16, 2010",The 9th Judgment,James Patterson and Maxine Paetro
3569,"May 23, 2010",Dead in the Family,Charlaine Harris
3570,"May 30, 2010",Dead in the Family,Charlaine Harris
3571,"June 6, 2010",61 Hours,Lee Child
3572,"June 13, 2010",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3573,"June 20, 2010",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3574,"June 27, 2010",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3575,"July 4, 2010",The Overton Window,Glenn Beck
3576,"July 11, 2010",Sizzling Sixteen,Janet Evanovich
3577,"July 18, 2010",Private,James Patterson
3578,"July 25, 2010",Search,Nora Roberts
3579,"August 1, 2010",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3580,"August 8, 2010",The Rembrandt Affair,Daniel Silva
3581,"August 15, 2010",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3582,"August 22, 2010",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3583,"August 29, 2010",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3584,"September 5, 2010",The Postcard Killers,James Patterson and Liza Marklund
3585,"September 12, 2010",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3586,"September 19, 2010",Freedom,Jonathan Franzen
3587,"September 26, 2010",Freedom,Jonathan Franzen
3588,"October 3, 2010",Safe Haven,Nicholas Sparks
3589,"October 10, 2010",Freedom,Jonathan Franzen
3590,"October 17, 2010",Fall of Giants,Ken Follett
3591,"October 24, 2010",The Reversal,Michael Connelly
3592,"October 31, 2010",American Assassin,Vince Flynn
3593,"November 7, 2010",Worth Dying For,Lee Child
3594,"November 14, 2010",The Confession,John Grisham
3595,"November 21, 2010",Towers of Midnight,Robert Jordan and Brandon Sanderson
3596,"November 28, 2010",Hell's Corner,David Baldacci
3597,"December 5, 2010",Cross Fire,James Patterson
3598,"December 12, 2010",Cross Fire,James Patterson
3599,"December 19, 2010",Port Mortuary,Patricia Cornwell
3600,"December 26, 2010",Dead or Alive,Tom Clancy and Grant Blackwood
3601,"January 2, 2011",Dead or Alive,Tom Clancy and Grant Blackwood
3602,"January 9, 2011",Dead or Alive,Tom Clancy and Grant Blackwood
3603,"January 16, 2011",What the Night Knows,Dean Koontz
3604,"January 23, 2011",The Girl Who Kicked the Hornets' Nest,Stieg Larsson
3605,"January 30, 2011",The Inner Circle,Brad Meltzer
3606,"February 6, 2011",Shadowfever,Karen Marie Moning
3607,"February 13, 2011",Tick Tock,James Patterson
3608,"February 20, 2011",Tick Tock,James Patterson
3609,"February 27, 2011",Tick Tock,James Patterson
3610,"March 6, 2011",Alone,Lisa Gardner
3611,"March 13, 2011",Treachery in Death,J. D. Robb
3612,"March 20, 2011",The Wise Man's Fear,Patrick Rothfuss
3613,"March 27, 2011",Water for Elephants,Sara Gruen
3614,"April 3, 2011",Water for Elephants,Sara Gruen
3615,"April 10, 2011",Live Wire,Harlan Coben
3616,"April 17, 2011",The Land of Painted Caves,Jean M. Auel
3617,"April 24, 2011",The Fifth Witness,Michael Connelly
3618,"May 1, 2011",Water for Elephants,Sara Gruen
3619,"May 8, 2011",Water for Elephants,Sara Gruen
3620,"May 15, 2011",Water for Elephants,Sara Gruen
3621,"May 22, 2011",Dead Reckoning,Charlaine Harris
3622,"May 29, 2011",Water for Elephants,Sara Gruen
3623,"June 5, 2011",Water for Elephants,Sara Gruen
3624,"June 12, 2011",Water for Elephants,Sara Gruen
3625,"June 19, 2011",The Help,Kathryn Stockett
3626,"June 26, 2011",The Help,Kathryn Stockett
3627,"July 3, 2011",The Help,Kathryn Stockett
3628,"July 10, 2011",Smokin' Seventeen,Janet Evanovich
3629,"July 17, 2011",Now You See Her,James Patterson and Michael Ledwidge
3630,"July 24, 2011",The Help,Kathryn Stockett
3631,"July 31, 2011",A Dance with Dragons,George R. R. Martin
3632,"August 7, 2011",The Help,Kathryn Stockett
3633,"August 14, 2011",The Help,Kathryn Stockett
3634,"August 21, 2011",The Help,Kathryn Stockett
3635,"August 28, 2011",The Help,Kathryn Stockett
3636,"September 4, 2011",The Help,Kathryn Stockett
3637,"September 11, 2011",The Help,Kathryn Stockett
3638,"September 18, 2011",The Help,Kathryn Stockett
3639,"September 25, 2011",The Help,Kathryn Stockett
3640,"October 2, 2011",The Help,Kathryn Stockett
3641,"October 9, 2011",The Help,Kathryn Stockett
3642,"October 16, 2011",The Affair,Lee Child
3643,"October 23, 2011",The Help,Kathryn Stockett
3644,"October 30, 2011",The Best of Me,Nicholas Sparks
3645,"November 6, 2011",The Best of Me,Nicholas Sparks
3646,"November 13, 2011",The Litigators,John Grisham
3647,"November 20, 2011",Zero Day,David Baldacci
3648,"November 27, 2011",11/22/63,Stephen King
3649,"December 4, 2011",Kill Alex Cross,James Patterson
3650,"December 11, 2011",Explosive Eighteen,Janet Evanovich
3651,"December 18, 2011",The Drop,Michael Connelly
3652,"December 25, 2011",Red Mist,Patricia Cornwell
3653,"January 1, 2012",11/22/63,Stephen King
3654,"January 8, 2012",The Girl with the Dragon Tattoo,Stieg Larsson
3655,"January 15, 2012",The Help,Kathryn Stockett
3656,"January 22, 2012",Private: #1 Suspect,James Patterson and Maxine Paetro
3657,"January 29, 2012",The Girl with the Dragon Tattoo,Stieg Larsson
3658,"February 5, 2012",Extremely Loud and Incredibly Close,Jonathan Safran Foer
3659,"February 12, 2012",Extremely Loud and Incredibly Close,Jonathan Safran Foer
3660,"February 19, 2012",Home Front,Kristin Hannah
3661,"February 26, 2012",Kill Shot,Vince Flynn
3662,"March 4, 2012",Private Games,James Patterson
3663,"March 11, 2012",Celebrity in Death,J. D. Robb
3664,"March 18, 2012",Fifty Shades of Grey,E. L. James
3665,"March 25, 2012",Fifty Shades of Grey,E. L. James
3666,"April 1, 2012",Fifty Shades of Grey,E. L. James
3667,"April 8, 2012",Fifty Shades of Grey,E. L. James
3668,"April 15, 2012",Fifty Shades of Grey,E. L. James
3669,"April 22, 2012",Fifty Shades of Grey,E. L. James
3670,"April 29, 2012",Fifty Shades of Grey,E. L. James
3671,"May 6, 2012",Fifty Shades of Grey,E. L. James
3672,"May 13, 2012",Fifty Shades of Grey,E. L. James
3673,"May 20, 2012",Fifty Shades of Grey,E. L. James
3674,"May 27, 2012",Fifty Shades of Grey,E. L. James
3675,"June 3, 2012",Fifty Shades of Grey,E. L. James
3676,"June 10, 2012",Fifty Shades of Grey,E. L. James
3677,"June 17, 2012",Fifty Shades of Grey,E. L. James
3678,"June 24, 2012",Fifty Shades of Grey,E. L. James
3679,"July 1, 2012",Fifty Shades of Grey,E. L. James
3680,"July 8, 2012",Fifty Shades of Grey,E. L. James
3681,"July 15, 2012",Fifty Shades of Grey,E. L. James
3682,"July 22, 2012",Fifty Shades of Grey,E. L. James
3683,"July 29, 2012",Fifty Shades of Grey,E. L. James
3684,"August 5, 2012",Fifty Shades of Grey,E. L. James
3685,"August 12, 2012",Fifty Shades of Grey,E. L. James
3686,"August 19, 2012",Fifty Shades of Grey,E. L. James
3687,"August 26, 2012",Fifty Shades of Grey,E. L. James
3688,"September 2, 2012",Fifty Shades of Grey,E. L. James
3689,"September 9, 2012",Fifty Shades of Grey,E. L. James
3690,"September 16, 2012",Fifty Shades of Grey,E. L. James
3691,"September 23, 2012",Fifty Shades of Grey,E. L. James
3692,"September 30, 2012",A Wanted Man,Lee Child
3693,"October 7, 2012",Winter of the World,Ken Follett
3694,"October 14, 2012",The Casual Vacancy,J.K. Rowling
3695,"October 21, 2012",Reflected in You,Sylvia Day
3696,"October 28, 2012",Reflected in You,Sylvia Day
3697,"November 4, 2012",The Bone Bed,Patricia Cornwell
3698,"November 11, 2012",The Racketeer,John Grisham
3699,"November 18, 2012",The Racketeer,John Grisham
3700,"November 25, 2012",The Perfect Hope,Nora Roberts
3701,"December 2, 2012",The Last Man,Vince Flynn
3702,"December 9, 2012",Notorious Nineteen,Janet Evanovich
3703,"December 16, 2012",The Black Box,Michael Connelly
3704,"December 23, 2012",Threat Vector,Tom Clancy
3705,"December 30, 2012",Gone Girl,Gillian Flynn
3706,"January 6, 2013",Gone Girl,Gillian Flynn
3707,"January 13, 2013",Safe Haven,Nicholas Sparks
3708,"January 20, 2013",Safe Haven,Nicholas Sparks
3709,"January 27, 2013",A Memory of Light,Robert Jordan and Brandon Sanderson
3710,"February 3, 2013",Safe Haven,Nicholas Sparks
3711,"February 10, 2013",Safe Haven,Nicholas Sparks
3712,"February 17, 2013",Safe Haven,Nicholas Sparks
3713,"February 24, 2013",Safe Haven,Nicholas Sparks
3714,"March 3, 2013",Safe Haven,Nicholas Sparks
3715,"March 10, 2013","Alex Cross, Run",James Patterson
3716,"March 17, 2013",Calculated in Death,J.D. Robb
3717,"March 24, 2013",Reckless,S.C. Stephens
3718,"March 31, 2013","Alex Cross, Run",James Patterson
3719,"April 7, 2013",Six Years,Harlan Coben
3720,"April 14, 2013",Lover At Last,J.R. Ward
3721,"April 21, 2013",Walking Disaster,Jamie McGuire
3722,"April 28, 2013",The Bet,Rachel Van Dyken
3723,"May 5, 2013",Whiskey Beach,Nora Roberts
3724,"May 12, 2013",The Hit,David Baldacci
3725,"May 19, 2013",12th of Never,James Patterson and Maxine Paetro
3726,"May 26, 2013",Dead Ever After,Charlaine Harris
3727,"June 2, 2013",Inferno,Dan Brown
3728,"June 9, 2013",Inferno,Dan Brown
3729,"June 16, 2013",Inferno,Dan Brown
3730,"June 23, 2013",Entwined With You,Sylvia Day
3731,"June 30, 2013",Inferno,Dan Brown
3732,"July 7, 2013",Inferno,Dan Brown
3733,"July 14, 2013",Second Honeymoon,James Patterson and Howard Roughan
3734,"July 21, 2013",Inferno,Dan Brown
3735,"July 28, 2013",Hidden Order,Brad Thor
3736,"August 4, 2013",The Cuckoo's Calling,Robert Galbraith (Pseudonym for J.K. Rowling).
3737,"August 11, 2013",The Cuckoo's Calling,Robert Galbraith (Pseudonym for J.K. Rowling).
3738,"August 18, 2013",The Cuckoo's Calling,Robert Galbraith (Pseudonym for J.K. Rowling).
3739,"August 25, 2013",Burn,Maya Banks
3740,"September 1, 2013",The Cuckoo's Calling,Robert Galbraith
3741,"September 8, 2013",The Cuckoo's Calling,Robert Galbraith
3742,"September 15, 2013",The Hero,Robyn Carr
3743,"September 22, 2013",Never Go Back,Lee Child
3744,"September 29, 2013",W is for Wasted,Sue Grafton
3745,"October 6, 2013",The Longest Ride,Nicholas Sparks
3746,"October 13, 2013",Doctor Sleep,Stephen King
3747,"October 20, 2013",Gone,James Patterson and Michael Ledwidge
3748,"October 27, 2013",Storm Front,John Sandford
3749,"November 3, 2013",Just One Evil Act,Elizabeth George
3750,"November 10, 2013",Sycamore Row,John Grisham
3751,"November 17, 2013",Dark Witch,Nora Roberts
3752,"November 24, 2013",Sycamore Row,John Grisham
3753,"December 1, 2013",Sycamore Row,John Grisham
3754,"December 8, 2013",Takedown Twenty,Janet Evanovich
3755,"December 15, 2013",Cross My Heart,James Patterson
3756,"December 22, 2013",The Gods of Guilt,Michael Connelly
3757,"December 29, 2013",Sycamore Row,John Grisham
3758,"January 5, 2014",Sycamore Row,John Grisham
3759,"January 12, 2014",Sycamore Row,John Grisham
3760,"January 19, 2014",Sycamore Row,John Grisham
3761,"January 26, 2014",The Invention of Wings,Sue Monk Kidd
3762,"February 2, 2014",The Goldfinch,Donna Tartt
3763,"February 9, 2014",The Goldfinch,Donna Tartt
3764,"February 16, 2014",The Goldfinch,Donna Tartt
3765,"February 23, 2014",The Goldfinch,Donna Tartt
3766,"March 2, 2014",Private L.A.,James Patterson and Mark Sullivan
